x,y
100.430567727101,506586.430188425
101.703905531552,526098.644194735
99.5959624425167,494064.294775123
99.1067797029088,486819.168686147
101.422286457762,521740.765884731
100.491975227373,507517.138134648
98.7692819746661,481864.406798039
99.547421189156,493341.448752748
101.447320465043,522127.550562357
100.2878878216,504430.705066564
99.7343344634419,496125.502335077
98.4905393352852,477797.315530675
99.8309185624256,497567.196620071
100.896628000395,513671.919872296
101.458933326933,522305.440390083
101.333775534006,520376.171816252
99.6479845450421,494838.472479645
100.070146997912,501153.088631919
99.05769925985,486097.207980732
101.126672095628,517192.417026279
100.665006192906,510142.946640648
100.759614156577,511580.844507514
101.90296605705,529193.214452244
100.869809448339,513262.541025675
100.64429544734,509827.880455519
100.010549924867,500257.891503515
100.629990184158,509609.67219342
99.4173398797559,491409.894091888
99.7530294263999,496404.006255178
100.139464448064,502195.947725127
100.561185832014,508565.487900201
100.43712103297,506684.872935002
99.6673008258178,495126.114848381
102.160563261185,533215.959138821
99.6429440368022,494762.822164467
101.651302440794,525282.278966613
98.1898164867892,473433.419226089
99.0148377455689,485466.302330565
99.1123366723648,486901.240735571
100.731760531895,511157.447783393
97.6413856045822,465545.354668008
100.75069993869,511447.280891961
99.0975516416421,486684.723204206
102.294246288424,535311.209928698
99.5138652430125,492843.052098335
98.5979664767855,479361.37972546
99.7053479497331,495693.011202054
100.745810434105,511370.929695785
100.398882092491,506108.464859192
100.002305574451,500134.613692938
99.5410665399746,493247.206231715
100.237276982789,503667.749173662
98.5459361854543,478603.493182196
100.594017356717,509064.122703243
100.081194625293,501318.093871596
100.66942338441,510208.941842214
98.0527591931703,471454.306752326
100.094437385347,501518.897510925
100.259977866098,504010.199700555
101.118719749868,517069.617212165
99.7039651744025,495672.201586247
101.614446631225,524711.289413475
98.2317137968833,474039.808333093
99.7138353586639,495819.882484111
99.2609584423685,489095.682182217
101.70085633589,526050.277720733
97.5826330593442,464706.503301103
100.506401244073,507733.752347334
99.7114913363975,495783.938333299
100.565118896631,508625.849120565
98.73324555382,481337.111217448
99.5790326282205,493811.52797475
99.981768964553,499826.842834279
100.895251994839,513650.269023925
101.583705460507,524235.146598657
99.8810799036768,498318.198262698
99.4443816327937,491811.712710265
99.2588652344801,489064.925369808
100.241261443955,503727.995025606
99.5227588540331,492975.330223607
99.266732988452,489180.885897123
100.790017774207,512045.834891245
99.1598974501411,487603.106707702
101.702227648633,526073.091614804
102.109767926054,532420.578421516
99.1805180936332,487907.781606173
98.8192930722186,482595.643695386
101.283285551936,519598.360661053
98.2361879056805,474105.072108803
99.897011202769,498556.65842955
100.583023367184,508896.2974309
98.8491204814941,483033.489836006
99.5902338073229,493978.286567867
99.0736976355727,486333.247319913
100.260421016782,504017.05560634
100.93948864705,514326.405530111
101.524066708804,523313.461751588
100.881588705358,513441.914689433
101.233431142385,518831.325858583
98.6171604973274,479641.414983376
